INODE,X,Y,RCH_SS_m_per_day
1030180,608750,7264250,4.3709886e-05
1030187,607250,7262750,5.69564e-05
1030193,605750,7261250,5.6449673e-05
1030194,607250,7261250,7.7905861e-05
1030196,605750,7259750,6.7639834e-05
1030197,611750,7259750,6.7340407e-05
1030198,604250,7258250,8.2938313e-05
1030199,605750,7258250,7.9172685e-05
1030200,611750,7258250,6.1809646e-05
1030201,617750,7258250,9.8894088e-05
1030202,563750,7256750,6.8670706e-05
1030203,565250,7256750,7.2127361e-05
1030204,602750,7256750,6.9592592e-05
1030205,604250,7256750,7.123244e-05
1030206,608750,7256750,7.1208844e-05
1030207,611750,7256750,6.8629131e-05
1030208,613250,7256750,5.888725e-05
1030209,617750,7256750,0.00010214344
1030210,551750,7255250,5.3514636e-05
1030211,560750,7255250,4.7672707e-05
1030212,562250,7255250,6.0074297e-05
1030213,563750,7255250,7.0805479e-05
1030214,565250,7255250,7.5565469e-05
1030215,566750,7255250,7.5395816e-05
1030219,601250,7255250,8.8538174e-05
1030220,617750,7255250,0.00010262826
1030221,619250,7255250,0.00010001653
1030222,620750,7255250,8.5706226e-05
1030223,551750,7253750,5.8113674e-05
1030224,553250,7253750,5.3763448e-05
1030225,554750,7253750,5.0514092e-05
1030226,556250,7253750,5.0566116e-05
1030227,559250,7253750,5.4864544e-05
1030228,560750,7253750,5.9029382e-05
1030229,562250,7253750,6.3877575e-05
1030230,563750,7253750,7.0330774e-05
1030231,565250,7253750,7.3499796e-05
1030232,568250,7253750,7.2966104e-05
1030237,578750,7253750,9.7123906e-05
1030240,617750,7253750,0.00010953819
1030241,619250,7253750,8.4497828e-05
1030242,553250,7252250,5.6724944e-05
1030243,554750,7252250,5.5268803e-05
1030244,560750,7252250,6.2066945e-05
1030258,551750,7250750,6.0980456e-05
1030275,611750,7250750,0.00010493944
1030276,616250,7250750,9.2868962e-05
1030277,551750,7249250,5.9820934e-05
1030295,581750,7249250,9.6966607e-05
1030296,584750,7249250,0.00010995279
1030301,623750,7249250,7.5402553e-05
